1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:violations 9:bad_histories 10:all_histories 11:covered 12:c0_violations 13:c0_bad_histories 14:c0_all_histories 15:c0_covered 16:c1_violations 17:c1_bad_histories 18:c1_all_histories 19:c1_covered 20:c2_violations 21:c2_bad_histories 22:c2_all_histories 23:c2_covered 24:c3_violations 25:c3_bad_histories 26:c3_all_histories 27:c3_covered 28:c4_violations 29:c4_bad_histories 30:c4_all_histories 31:c4_covered
Lin_vs_counting 3 2 2 4 310 0.17 75 22 76 - 0 0 6 0 0 0 60 0 7 3 76 22 67 16 76 22 75 22 76 22
Lin_vs_counting 3 3 2 4 494 0.39 187 42 115 - 0 0 7 0 0 0 69 0 0 0 113 0 56 11 115 39 171 36 115 42
Lin_vs_counting 3 4 2 4 715 0.73 311 62 159 - 0 0 7 0 0 0 72 0 0 0 123 0 0 0 156 0 123 23 159 62
Lin_vs_counting 4 1 2 4 346 0.24 154 39 80 - 0 0 4 0 0 0 58 0 67 10 80 39 145 31 80 39 154 39 80 39
Lin_vs_counting 4 2 2 4 491 0.36 173 50 122 - 0 0 6 0 0 0 90 0 1 1 122 2 70 14 122 50 160 40 122 50
Lin_vs_counting 4 3 2 4 730 0.83 407 128 225 - 0 0 10 0 16 6 128 17 49 21 212 35 99 37 225 43 246 77 225 127
Lin_vs_counting 4 4 2 4 1023 1.42 487 120 247 - 0 0 11 0 0 0 103 0 0 0 175 0 0 0 235 0 17 8 247 13
Lin_vs_counting 1 1 3 4 92 0.01 0 0 4 - 0 0 2 0 0 0 4 0 0 0 4 0 0 0 4 0 0 0 4 0
Lin_vs_counting 1 2 3 4 368 0.1 0 0 20 - 0 0 2 0 0 0 14 0 0 0 17 0 0 0 17 0 0 0 17 0
Lin_vs_counting 1 3 3 4 1348 0.61 0 0 67 - 0 0 2 0 0 0 30 0 0 0 50 0 0 0 52 0 0 0 52 0
Lin_vs_counting 1 4 3 4 2413 3.33 0 0 140 - 0 0 2 0 0 0 41 0 0 0 84 0 0 0 93 0 0 0 93 0
Lin_vs_counting 2 1 3 4 470 0.15 22 5 30 - 0 0 3 0 17 3 23 5 22 5 30 5 22 5 30 5 22 5 30 5
Lin_vs_counting 2 2 3 4 1400 0.76 27 6 97 - 0 0 4 0 1 1 58 3 20 4 91 6 27 6 97 6 27 6 97 6
