1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:seq_histories 9:seq_time 10:avg_lins 11:max_lins
Counting 4 8 3 2 24727 2.04 - - - -
Linearization_no_atomic 4 8 3 - 24727 176 - - 128 1320
Unmonitored 4 9 3 - 30699 1.47 - - - -
Counting 4 9 3 2 30699 2.66 - - - -
Linearization_no_atomic 4 9 3 - 30699 295.5 - - 160 1716
Unmonitored 4 10 3 - 37559 5.31 - - - -
Counting 4 10 3 2 37559 4.6 - - - -
Linearization_no_atomic 4 10 3 - 37559 447.07 - - 197 2184
Unmonitored 5 1 3 - 4448 0.13 - - - -
Counting 5 1 3 2 4448 0.2 - - - -
Linearization_no_atomic 5 1 3 - 4448 2.52 - - 19 120
Unmonitored 5 2 3 - 6468 0.2 - - - -
Counting 5 2 3 2 6468 0.33 - - - -
Linearization_no_atomic 5 2 3 - 6468 6.35 - - 29 210
Unmonitored 5 3 3 - 9064 0.32 - - - -
Counting 5 3 3 2 9064 0.53 - - - -
Linearization_no_atomic 5 3 3 - 9064 14.51 - - 43 336
Unmonitored 5 4 3 - 12302 0.48 - - - -
Counting 5 4 3 2 12302 0.82 - - - -
Linearization_no_atomic 5 4 3 - 12302 28.61 - - 59 504
Unmonitored 5 5 3 - 16210 0.66 - - - -
Counting 5 5 3 2 16210 1.23 - - - -
Linearization_no_atomic 5 5 3 - 16210 60.06 - - 79 720
Unmonitored 5 6 3 - 20934 0.91 - - - -
Counting 5 6 3 2 20934 4.42 - - - -
Linearization_no_atomic 5 6 3 - 20934 102.97 - - 103 990
Unmonitored 5 7 3 - 26378 1.22 - - - -
Counting 5 7 3 2 26378 3.52 - - - -
Linearization_no_atomic 5 7 3 - 26378 178.79 - - 131 1320
Unmonitored 5 8 3 - 32634 1.73 - - - -
Counting 5 8 3 2 32634 3.12 - - - -
Linearization_no_atomic 5 8 3 - 32634 330.82 - - 165 1716
Unmonitored 5 9 3 - 39794 2.17 - - - -
Counting 5 9 3 2 39794 4.33 - - - -
Linearization_no_atomic 5 9 3 - 39794 521.28 - - 203 2184
Unmonitored 5 10 3 - 47922 2.65 - - - -
Counting 5 10 3 2 47922 5.18 - - - -
Linearization_no_atomic 5 10 3 - 47922 779.15 - - 246 2730
Unmonitored 6 1 3 - 7148 0.23 - - - -
Counting 6 1 3 2 7148 0.41 - - - -
Linearization_no_atomic 6 1 3 - 7148 6.49 - - 28 210
Unmonitored 6 2 3 - 9868 0.36 - - - -
Counting 6 2 3 2 9868 1 - - - -
Linearization_no_atomic 6 2 3 - 9868 14.84 - - 42 336
Unmonitored 6 3 3 - 13244 0.54 - - - -
Counting 6 3 3 2 13244 0.96 - - - -
Linearization_no_atomic 6 3 3 - 13244 31.08 - - 60 504
Unmonitored 6 4 3 - 17312 0.72 - - - -
Counting 6 4 3 2 17312 1.4 - - - -
Linearization_no_atomic 6 4 3 - 17312 65.16 - - 80 720
Unmonitored 6 5 3 - 22170 1.03 - - - -
Counting 6 5 3 2 22170 1.93 - - - -
Linearization_no_atomic 6 5 3 - 22170 120.39 - - 105 990
Unmonitored 6 6 3 - 27842 3.32 - - - -
Counting 6 6 3 2 27842 8.55 - - - -
Linearization_no_atomic 6 6 3 - 27842 209.69 - - 134 1320
Unmonitored 6 7 3 - 34486 1.77 - - - -
Counting 6 7 3 2 34486 4.78 - - - -
Linearization_no_atomic 6 7 3 - 34486 326.9 - - 168 1716
Unmonitored 6 8 3 - 41978 2.27 - - - -
Counting 6 8 3 2 41978 13.8 - - - -
Linearization_no_atomic 6 8 3 - 41978 580.73 - - 207 2184
Unmonitored 6 9 3 - 50426 3.07 - - - -
Counting 6 9 3 2 50426 6.23 - - - -
Linearization_no_atomic 6 9 3 - 50426 919.64 - - 251 2730
Unmonitored 6 10 3 - 59922 3.89 - - - -
Counting 6 10 3 2 59922 7.73 - - - -
Linearization_no_atomic 6 10 3 - 59922 1287.51 - - 301 3360
Unmonitored 7 1 3 - 10738 0.4 - - - -
Counting 7 1 3 2 10738 0.74 - - - -
Linearization_no_atomic 7 1 3 - 10738 15.72 - - 41 336
Unmonitored 7 2 3 - 14258 0.56 - - - -
Counting 7 2 3 2 14258 1.12 - - - -
Linearization_no_atomic 7 2 3 - 14258 32.86 - - 59 504
Unmonitored 7 3 3 - 18514 0.81 - - - -
Counting 7 3 3 2 18514 1.62 - - - -
Linearization_no_atomic 7 3 3 - 18514 64.77 - - 80 720
Unmonitored 7 4 3 - 23542 1.15 - - - -
Counting 7 4 3 2 23542 2.25 - - - -
Linearization_no_atomic 7 4 3 - 23542 128.5 - - 106 990
Unmonitored 7 5 3 - 29406 1.48 - - - -
Counting 7 5 3 2 29406 10.7 - - - -
Linearization_no_atomic 7 5 3 - 29406 208.98 - - 136 1320
Unmonitored 7 6 3 - 36208 9.35 - - - -
Counting 7 6 3 2 36208 12.43 - - - -
Linearization_no_atomic 7 6 3 - 36208 382.74 - - 171 1716
Unmonitored 7 7 3 - 43968 2.52 - - - -
Counting 7 7 3 2 43968 5.76 - - - -
Linearization_no_atomic 7 7 3 - 43968 576.08 - - 211 2184
Unmonitored 7 8 3 - 52856 3.16 - - - -
Counting 7 8 3 2 52856 16.45 - - - -
Linearization_no_atomic 7 8 3 - 52856 958.3 - - 256 2730
Unmonitored 7 9 3 - 62720 4.21 - - - -
Counting 7 9 3 2 62720 18.75 - - - -
