1:adds 2:removes 3:delays 4:barriers 5:executions 6:time 7:mode
3 1 2 2 109 0.01 Counting
3 1 2 0 109 0.01 Linearization
3 2 2 0 126 0.0 Unmonitored
3 2 2 2 126 0.0 NoVerify
3 2 2 2 126 0.0 Counting
3 2 2 0 126 0.02 Linearization
3 3 2 0 144 0.0 Unmonitored
3 3 2 2 144 0.01 NoVerify
3 3 2 2 144 0.01 Counting
3 3 2 0 144 0.04 Linearization
3 4 2 0 163 0.01 Unmonitored
3 4 2 2 163 0.01 NoVerify
3 4 2 2 163 0.01 Counting
3 4 2 0 163 0.07 Linearization
4 1 2 0 197 0.01 Unmonitored
4 1 2 2 197 0.01 NoVerify
4 1 2 2 197 0.01 Counting
4 1 2 0 197 0.03 Linearization
4 2 2 0 219 0.01 Unmonitored
4 2 2 2 219 0.01 NoVerify
4 2 2 2 219 0.01 Counting
4 2 2 0 219 0.06 Linearization
4 3 2 0 242 0.01 Unmonitored
4 3 2 2 242 0.01 NoVerify
4 3 2 2 242 0.01 Counting
4 3 2 0 242 0.12 Linearization
4 4 2 0 266 0.01 Unmonitored
4 4 2 2 266 0.01 NoVerify
4 4 2 2 266 0.02 Counting
4 4 2 0 266 0.18 Linearization
1 1 3 0 26 0.0 Unmonitored
1 1 3 2 26 0.0 NoVerify
1 1 3 2 26 0.0 Counting
1 1 3 0 26 0.0 Linearization
1 2 3 0 54 0.0 Unmonitored
1 2 3 2 54 0.0 NoVerify
1 2 3 2 54 0.0 Counting
1 2 3 0 54 0.0 Linearization
1 3 3 0 90 0.0 Unmonitored
1 3 3 2 90 0.0 NoVerify
1 3 3 2 90 0.0 Counting
1 3 3 0 90 0.01 Linearization
1 4 3 0 135 0.0 Unmonitored
1 4 3 2 135 0.0 NoVerify
1 4 3 2 135 0.0 Counting
1 4 3 0 135 0.01 Linearization
2 1 3 0 176 0.0 Unmonitored
2 1 3 2 176 0.0 NoVerify
2 1 3 2 176 0.0 Counting
2 1 3 0 176 0.01 Linearization
2 2 3 0 254 0.01 Unmonitored
2 2 3 2 254 0.01 NoVerify
2 2 3 2 254 0.01 Counting
2 2 3 0 254 0.03 Linearization
2 3 3 0 345 0.01 Unmonitored
2 3 3 2 345 0.01 NoVerify
2 3 3 2 345 0.01 Counting
2 3 3 0 345 0.06 Linearization
2 4 3 0 450 0.01 Unmonitored
2 4 3 2 450 0.02 NoVerify
2 4 3 2 450 0.02 Counting
2 4 3 0 450 0.13 Linearization
3 1 3 0 639 0.02 Unmonitored
3 1 3 2 639 0.02 NoVerify
3 1 3 2 639 0.02 Counting
3 1 3 0 639 0.09 Linearization
3 2 3 0 802 0.02 Unmonitored
3 2 3 2 802 0.03 NoVerify
3 2 3 2 802 0.03 Counting
3 2 3 0 802 0.22 Linearization
3 3 3 0 983 0.03 Unmonitored
3 3 3 2 983 0.04 NoVerify
3 3 3 2 983 0.04 Counting
3 3 3 0 983 0.48 Linearization
3 4 3 0 1183 0.04 Unmonitored
3 4 3 2 1183 0.06 NoVerify
3 4 3 2 1183 0.06 Counting
3 4 3 0 1183 0.91 Linearization
4 1 3 0 1579 0.05 Unmonitored
4 1 3 2 1579 0.05 NoVerify
4 1 3 2 1579 0.07 Counting
4 1 3 0 1579 0.38 Linearization
4 2 3 0 1835 0.06 Unmonitored
4 2 3 2 1835 0.08 NoVerify
4 2 3 2 1835 0.08 Counting
4 2 3 0 1835 0.95 Linearization
4 3 3 0 2131 0.08 Unmonitored
4 3 3 2 2131 0.1 NoVerify
4 3 3 2 2131 0.1 Counting
4 3 3 0 2131 2.06 Linearization
4 4 3 0 2451 0.1 Unmonitored
4 4 3 2 2451 0.14 NoVerify
4 4 3 2 2451 0.14 Counting
4 4 3 0 2451 3.77 Linearization
1 1 4 0 41 0.0 Unmonitored
1 1 4 2 41 0.0 NoVerify
1 1 4 2 41 0.0 Counting
1 1 4 0 41 0.0 Linearization
1 2 4 0 105 0.0 Unmonitored
1 2 4 2 105 0.0 NoVerify
1 2 4 2 105 0.0 Counting
1 2 4 0 105 0.01 Linearization
1 3 4 0 205 0.0 Unmonitored
1 3 4 2 205 0.0 NoVerify
1 3 4 2 205 0.0 Counting
1 3 4 0 205 0.02 Linearization
1 4 4 0 350 0.01 Unmonitored
1 4 4 2 350 0.01 NoVerify
1 4 4 2 350 0.01 Counting
1 4 4 0 350 0.04 Linearization
2 1 4 0 581 0.01 Unmonitored
2 1 4 2 581 0.01 NoVerify
2 1 4 2 581 0.01 Counting
2 1 4 0 581 0.04 Linearization
2 2 4 0 905 0.02 Unmonitored
2 2 4 2 905 0.02 NoVerify
2 2 4 2 905 0.02 Counting
2 2 4 0 905 0.11 Linearization
2 3 4 0 1320 0.04 Unmonitored
2 3 4 2 1320 0.05 NoVerify
2 3 4 2 1320 0.05 Counting
2 3 4 0 1320 0.27 Linearization
2 4 4 0 1840 0.05 Unmonitored
2 4 4 2 1840 0.07 NoVerify
2 4 4 2 1840 0.08 Counting
2 4 4 0 1840 0.61 Linearization
3 1 4 0 3080 0.08 Unmonitored
3 1 4 2 3080 0.09 NoVerify
3 1 4 2 3080 0.09 Counting
3 1 4 0 3080 0.45 Linearization
3 2 4 0 4096 0.13 Unmonitored
3 2 4 2 4096 0.14 NoVerify
3 2 4 2 4096 0.15 Counting
3 2 4 0 4096 1.29 Linearization
