1:adds 2:removes 3:delays 4:barriers 5:executions 6:time 7:mode
3 1 2 2 157 0.0 Counting
3 1 2 0 157 0.02 Linearization
3 2 2 0 246 0.01 Unmonitored
3 2 2 2 267 0.01 NoVerify
3 2 2 2 252 0.01 Counting
3 2 2 0 252 0.04 Linearization
3 3 2 0 436 0.01 Unmonitored
3 3 2 2 436 0.02 NoVerify
3 3 2 2 436 0.02 Counting
3 3 2 0 432 0.1 Linearization
3 4 2 0 603 0.02 Unmonitored
3 4 2 2 603 0.03 NoVerify
3 4 2 2 603 0.03 Counting
3 4 2 0 625 0.21 Linearization
4 1 2 0 260 0.01 Unmonitored
4 1 2 2 260 0.01 NoVerify
4 1 2 2 260 0.01 Counting
4 1 2 0 260 0.04 Linearization
4 2 2 0 400 0.01 Unmonitored
4 2 2 2 400 0.02 NoVerify
4 2 2 2 400 0.02 Counting
4 2 2 0 378 0.09 Linearization
4 3 2 0 582 0.02 Unmonitored
4 3 2 2 582 0.03 NoVerify
4 3 2 2 582 0.03 Counting
4 3 2 0 574 0.21 Linearization
4 4 2 0 821 0.04 Unmonitored
4 4 2 2 821 0.05 NoVerify
4 4 2 2 821 0.05 Counting
4 4 2 0 869 0.42 Linearization
1 1 3 0 94 0.0 Unmonitored
1 1 3 2 94 0.0 NoVerify
1 1 3 2 94 0.0 Counting
1 1 3 0 94 0.0 Linearization
1 2 3 0 356 0.01 Unmonitored
1 2 3 2 363 0.01 NoVerify
1 2 3 2 357 0.01 Counting
1 2 3 0 357 0.02 Linearization
1 3 3 0 1173 0.03 Unmonitored
1 3 3 2 1173 0.03 NoVerify
1 3 3 2 1173 0.03 Counting
1 3 3 0 1249 0.13 Linearization
1 4 3 0 2181 0.06 Unmonitored
1 4 3 2 2181 0.07 NoVerify
1 4 3 2 2237 0.07 Counting
1 4 3 0 2375 0.45 Linearization
2 1 3 0 456 0.01 Unmonitored
2 1 3 2 456 0.01 NoVerify
2 1 3 2 456 0.01 Counting
2 1 3 0 456 0.03 Linearization
2 2 3 0 1158 0.03 Unmonitored
2 2 3 2 1168 0.03 NoVerify
2 2 3 2 1170 0.03 Counting
2 2 3 0 1153 0.15 Linearization
2 3 3 0 2644 0.08 Unmonitored
2 3 3 2 2616 0.09 NoVerify
2 3 3 2 2527 0.09 Counting
2 3 3 0 2468 0.52 Linearization
2 4 3 0 4916 0.16 Unmonitored
2 4 3 2 4916 0.19 NoVerify
2 4 3 2 4916 0.21 Counting
2 4 3 0 5301 1.78 Linearization
3 1 3 0 1218 0.03 Unmonitored
3 1 3 2 1218 0.03 NoVerify
3 1 3 2 1218 0.04 Counting
3 1 3 0 1218 0.15 Linearization
3 2 3 0 2528 0.08 Unmonitored
3 2 3 2 2530 0.09 NoVerify
3 2 3 2 2535 0.09 Counting
3 2 3 0 2350 0.55 Linearization
3 3 3 0 4723 0.16 Unmonitored
3 3 3 2 4728 0.19 NoVerify
3 3 3 2 4728 0.2 Counting
3 3 3 0 4437 1.84 Linearization
3 4 3 0 7983 0.31 Unmonitored
3 4 3 2 8123 0.38 NoVerify
3 4 3 2 8123 0.41 Counting
3 4 3 0 8431 5.46 Linearization
4 1 3 0 2513 0.07 Unmonitored
4 1 3 2 2513 0.09 NoVerify
4 1 3 2 2513 0.1 Counting
4 1 3 0 2513 0.6 Linearization
4 2 3 0 4453 0.15 Unmonitored
4 2 3 2 4453 0.18 NoVerify
4 2 3 2 4453 0.19 Counting
4 2 3 0 4114 1.75 Linearization
4 3 3 0 7681 0.29 Unmonitored
4 3 3 2 7677 0.36 NoVerify
4 3 3 2 7677 0.42 Counting
4 3 3 0 7268 5.27 Linearization
4 4 3 0 12106 0.52 Unmonitored
4 4 3 2 12106 0.67 NoVerify
4 4 3 2 12106 0.73 Counting
4 4 3 0 12331 13.88 Linearization
1 1 4 0 286 0.0 Unmonitored
1 1 4 2 286 0.0 NoVerify
1 1 4 2 286 0.0 Counting
1 1 4 0 286 0.01 Linearization
1 2 4 0 1530 0.03 Unmonitored
1 2 4 2 1523 0.03 NoVerify
1 2 4 2 1523 0.03 Counting
1 2 4 0 1534 0.11 Linearization
1 3 4 0 6748 0.16 Unmonitored
1 3 4 2 6824 0.18 NoVerify
1 3 4 2 6766 0.18 Counting
1 3 4 0 7417 0.9 Linearization
1 4 4 0 15212 0.41 Unmonitored
1 4 4 2 15110 0.47 NoVerify
1 4 4 2 15193 0.49 Counting
1 4 4 0 16426 4.05 Linearization
2 1 4 0 2244 0.05 Unmonitored
2 1 4 2 2244 0.05 NoVerify
2 1 4 2 2244 0.06 Counting
2 1 4 0 2244 0.16 Linearization
2 2 4 0 7615 0.2 Unmonitored
2 2 4 2 7584 0.21 NoVerify
2 2 4 2 7615 0.21 Counting
2 2 4 0 7454 1.08 Linearization
2 3 4 0 18465 0.55 Unmonitored
2 3 4 2 18702 0.63 NoVerify
2 3 4 2 18149 0.65 Counting
2 3 4 0 17819 5.37 Linearization
2 4 4 0 45864 1.65 Unmonitored
2 4 4 2 46305 1.8 NoVerify
2 4 4 2 45780 1.89 Counting
2 4 4 0 46919 23.79 Linearization
3 1 4 0 7967 0.2 Unmonitored
3 1 4 2 7967 0.22 NoVerify
3 1 4 2 7967 0.26 Counting
3 1 4 0 7967 1.22 Linearization
3 2 4 0 19391 0.57 Unmonitored
3 2 4 2 19780 0.67 NoVerify
3 2 4 2 18782 0.68 Counting
3 2 4 0 18374 5.84 Linearization
3 3 4 0 42750 1.44 Unmonitored
3 3 4 2 42560 1.82 NoVerify
3 3 4 2 42990 1.91 Counting
3 3 4 0 41496 25.93 Linearization
3 4 4 0 87725 3.31 Unmonitored
3 4 4 2 87920 4.19 NoVerify
3 4 4 2 87837 4.5 Counting
3 4 4 0 89324 103.45 Linearization
4 1 4 0 20361 0.7 Unmonitored
4 1 4 2 20361 0.71 NoVerify
4 1 4 2 20361 0.78 Counting
4 1 4 0 20361 6.71 Linearization
4 2 4 0 39632 1.36 Unmonitored
