1:adds 2:removes 3:delays 4:barriers 5:executions 6:time 7:mode
1 1 0 0 1 0.0 Unmonitored
1 1 0 2 1 0.0 Counting
1 1 0 0 1 0.0 Linearization
1 1 1 0 6 0.0 Unmonitored
1 1 1 2 6 0.0 Counting
1 1 1 0 6 0.0 Linearization
1 1 2 0 27 0.0 Unmonitored
1 1 2 2 27 0.0 Counting
1 1 2 0 27 0.0 Linearization
1 1 3 0 92 0.0 Unmonitored
1 1 3 2 92 0.0 Counting
1 1 3 0 92 0.0 Linearization
1 1 4 0 284 0.01 Unmonitored
1 1 4 2 284 0.0 Counting
1 1 4 0 284 0.01 Linearization
1 2 0 0 1 0.0 Unmonitored
1 2 0 2 1 0.0 Counting
1 2 0 0 1 0.0 Linearization
1 2 1 0 11 0.0 Unmonitored
1 2 1 2 11 0.0 Counting
1 2 1 0 11 0.0 Linearization
1 2 2 0 80 0.0 Unmonitored
1 2 2 2 80 0.0 Counting
1 2 2 0 80 0.0 Linearization
1 2 3 0 368 0.01 Unmonitored
1 2 3 2 368 0.01 Counting
1 2 3 0 368 0.02 Linearization
1 2 4 0 1581 0.04 Unmonitored
1 2 4 2 1581 0.04 Counting
1 2 4 0 1581 0.12 Linearization
1 3 0 0 1 0.0 Unmonitored
1 3 0 2 1 0.0 Counting
1 3 0 0 1 0.0 Linearization
1 3 1 0 18 0.0 Unmonitored
1 3 1 2 18 0.0 Counting
1 3 1 0 18 0.0 Linearization
1 3 2 0 182 0.0 Unmonitored
1 3 2 2 182 0.01 Counting
1 3 2 0 182 0.02 Linearization
1 3 3 0 1348 0.04 Unmonitored
1 3 3 2 1348 0.04 Counting
1 3 3 0 1348 0.16 Linearization
1 3 4 0 8112 0.55 Unmonitored
1 3 4 2 8112 0.58 Counting
1 3 4 0 8112 0.97 Linearization
1 4 0 0 1 0.0 Unmonitored
1 4 0 2 1 0.0 Counting
1 4 0 0 1 0.0 Linearization
1 4 1 0 22 0.0 Unmonitored
1 4 1 2 22 0.0 Counting
1 4 1 0 22 0.0 Linearization
1 4 2 0 270 0.01 Unmonitored
1 4 2 2 270 0.01 Counting
1 4 2 0 270 0.04 Linearization
1 4 3 0 2413 0.07 Unmonitored
1 4 3 2 2413 0.11 Counting
1 4 3 0 2413 0.49 Linearization
1 4 4 0 17693 0.82 Unmonitored
1 4 4 2 17693 0.57 Counting
1 4 4 0 17693 4.58 Linearization
2 1 0 0 1 0.0 Unmonitored
2 1 0 2 1 0.0 Counting
2 1 0 0 1 0.0 Linearization
2 1 1 0 11 0.0 Unmonitored
2 1 1 2 11 0.0 Counting
2 1 1 0 11 0.0 Linearization
2 1 2 0 86 0.0 Unmonitored
2 1 2 2 86 0.0 Counting
2 1 2 0 86 0.01 Linearization
2 1 3 0 464 0.01 Unmonitored
2 1 3 2 462 0.01 Counting
2 1 3 0 461 0.03 Linearization
2 1 4 0 1923 0.04 Unmonitored
2 1 4 2 1922 0.05 Counting
2 1 4 0 1935 0.14 Linearization
2 2 0 0 1 0.0 Unmonitored
2 2 0 2 1 0.0 Counting
2 2 0 0 1 0.0 Linearization
2 2 1 0 16 0.0 Unmonitored
2 2 1 2 16 0.0 Counting
2 2 1 0 16 0.0 Linearization
2 2 2 0 182 0.0 Unmonitored
2 2 2 2 182 0.01 Counting
2 2 2 0 182 0.02 Linearization
2 2 3 0 1401 0.03 Unmonitored
2 2 3 2 1394 0.05 Counting
2 2 3 0 1405 0.17 Linearization
2 2 4 0 8750 0.36 Unmonitored
2 2 4 2 8770 0.57 Counting
2 2 4 0 8786 1.27 Linearization
2 3 0 0 1 0.0 Unmonitored
2 3 0 2 1 0.0 Counting
2 3 0 0 1 0.0 Linearization
2 3 1 0 21 0.0 Unmonitored
2 3 1 2 21 0.0 Counting
2 3 1 0 21 0.0 Linearization
2 3 2 0 283 0.01 Unmonitored
2 3 2 2 283 0.01 Counting
2 3 2 0 283 0.05 Linearization
2 3 3 0 2781 0.08 Unmonitored
2 3 3 2 2791 0.11 Counting
2 3 3 0 2789 0.62 Linearization
2 3 4 0 23160 0.72 Unmonitored
2 3 4 2 23147 1.17 Counting
2 3 4 0 23135 7.08 Linearization
2 4 0 0 1 0.0 Unmonitored
2 4 0 2 1 0.0 Counting
2 4 0 0 1 0.0 Linearization
